HCUPnet - Hospital Inpatient State Statistics,,,,,,,
,,,,,,,
"Analysis Type: Descriptive Statistics | Setting of Care: Hospital Inpatient | Geographic Settings: State | Years: 2016 | Categorization Type: All Stays | Principal or All-Listed: Principal | Outcome and Measures: Number, Aggregate charges, Aggregate costs, Age (mean) | Patient Characteristics: Age groups, Sex, Payer, Location of patient's residence | Hospital/Facility Characteristics: Hospital ownership, Hospital bedsize | State: Arizona, Arkansas, California, Colorado, Florida, Hawaii, Illinois, Indiana, Iowa, Kansas, Kentucky, Maine, Maryland, Massachusetts, Michigan, Minnesota, Missouri, Nebraska, Nevada, New Jersey, New Mexico, New York, North Carolina, North Dakota, Oklahoma, Oregon, Rhode Island, South Carolina, Tennessee, Texas, Utah, Vermont, Washington, West Virginia, Wisconsin, Wyoming",,,,,,,
,,,,,,,
2016  Arizona,,,,,,,
Outcomes for All Visits,,,,,,,
,,,,,,,
,,Number,,Age (mean),Aggregate charges,Aggregate costs,
,1-17,11277,3.5784095957,10.4936596613,260963508.35,60166092.1339605,
,18-44,76624,24.3142730215,30.4919868449,2384179563.65999,518909255.678385,
,45-64,70543,22.3846544393,55.9177522929,3860795779.78999,860479899.856618,
,65-84,87804,27.8619026464,74.1684547401,4426456671.55999,1078823430.65361,
,85+,29827,9.4646823634,89.5231836926,1065002029.28,302101535.719386,
,Missing,38,0.0120581329,---,1825753,372337.732379185,
Sex,Male,131353,41.6808402615,50.6507987269,6148299573.89,1400828231.61832,
,Female,183634,58.2706098877,48.5910138061,6613623548.87999,1560993455.90279,
,Missing,153,0.0485498509,49.9673202614,6095634,1313164.6142362,
Payer,Medicare,132571,42.0673351526,73.7151618476,6223248284.77999,1543723623.72328,
,Medicaid,43360,13.7589642698,22.5555888799,1346314255.47,284728654.686034,
,Private insurance,104867,33.2763216348,34.0309177085,3889801785.75,846011714.470926,
,Uninsured,17309,5.4924795329,36.3610725844,638792412.460005,133935775.925022,
,Other,16093,5.1066192803,36.7300354235,657643222.8,147165130.699779,
,Missing,940,0.2982801295,46.4021276596,12218795.51,7569952.63032362,
Patient residence,Large central metro,13401,4.2523957606,46.0855415392,758760134.08,149181191.722845,
,Large fringe metro (suburbs),92627,29.392333566,47.9996760924,4103069452.53999,821199197.146185,
,Medium and small metro,106732,33.8681221045,47.3804102362,4613959180.60999,956676908.748,
,Micropolitan and noncore (rural),102011,32.3700577521,53.3721249436,3268699745.28999,1032350406.16531,
,Missing,369,0.1170908168,50.2059620596,23530244.25,3727148.35304448,
Owner,Government,73421,23.2978993463,51.8703108399,3325763563.13,869756506.612705,
,"Private, Not For Profit",168527,53.476867424,50.1497003145,5400655442.41999,1476696012.84011,
,"Private, For Profit",73192,23.2252332297,45.4115034573,4041599751.22,616682332.682531,
Bedsize,Small,52520,16.6656089357,58.0421245072,1232530114.85,497541229.127624,
,Medium,39919,12.6670686044,53.1951250063,1038150341.68,318781067.748253,
,Large,222701,70.6673224599,46.7526956569,10497338300.2399,2146812555.25953,
,,,,,,,
"State statistics from HCUP State Inpatient Databases 2016, Agency for Healthcare Research and Quality (AHRQ), based on data collected by the Kansas Hospital Association and provided to AHRQ. Values based on 10 or fewer discharges or fewer than 2 hospitals in the State statistics (SID) are suppressed to protect confidentiality of patients and are designated with an asterisk (*).",,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. http://10.35.1.231/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,
,,,,,,,
2016  Kentucky,,,,,,,
Outcomes for All Visits,,,,,,,
,,,,,,,
,,Number,,Age (mean),Aggregate charges,Aggregate costs,
,,Total number of discharges: N,Percent of discharges,Age (mean),"Aggregate charges, $","Aggregate costs, $",
All discharges,,568812,100,50.6957212839,22096428060,6482921095.46961,
Age group,<1,56877,9.999261619,0,948368678,335248880.3985,
,1-17,14685,2.5816965887,9.5662921348,434345794,174966473.167205,
,18-44,133310,23.4365660359,31.0486985222,3683690988,1038871177.21587,
,45-64,156803,27.5667531627,55.5890512299,7691326497,2203124402.64416,
,65-84,168284,29.5851704957,73.5739939626,8007741622,2332645219.56337,
,85+,38763,6.8147296471,89.1141810489,1325380949,395718974.875837,
,Missing,90,0.015822451,---,5573532,2345967.60449679,
Sex,Male,240712,42.318375843,51.5667692896,10665203563,3116794340.70551,
,Female,327503,57.5766685654,50.0685779901,11411894055,3360628583.98041,
,Missing,597,0.1049555917,43.3361921098,19330442,5498170.78365393,
Payer,Medicare,247375,43.4897646323,70.9524017432,11128209488,3226755721.10827,
,Medicaid,155108,27.2687636688,31.4406671439,5142773224,1530272872.50306,
,Private insurance,141993,24.9630809477,38.9537959839,5061679550,1499602736.53585,
,Uninsured,12543,2.2051222548,28.7632985087,284109477,87371115.9046306,
,Other,11793,2.0732684964,43.6458916306,479656321,138918649.417563,
Patient residence,Large central metro,98853,17.3788527668,49.6631221101,4384687463,1336539483.38275,
,Large fringe metro (suburbs),79524,13.9807177064,50.311497881,3017324049,925876406.854834,
,Medium and small metro,128132,22.5262476882,49.1462078224,4443762788,1382099030.36638,
,Micropolitan and noncore (rural),261911,46.0452662743,51.9478759318,10238234522,2834249942.76811,
,Missing,392,0.0689155644,59.0076726343,12419238,4156232.09735489,
Owner,Government,63943,11.2414998277,47.1057629134,2953895602,921327618.38312,
,"Private, Not For Profit",455977,80.1630415673,50.9502268001,16970935340,5147326769.76363,
,"Private, For Profit",48892,8.595458605,53.0165480281,2171597118,414266707.322835,
Bedsize,Small,41568,7.3078627033,55.575078796,1304313704,448035777.695845,
,Medium,207977,36.5633988031,49.7231215374,8925719935,2764855819.30502,
,Large,319267,56.1287384936,50.6939600217,11866394421,3270029498.46867,
,,,,,,,
"State statistics from HCUP State Inpatient Databases 2016, Agency for Healthcare Research and Quality (AHRQ), based on data collected by the Kentucky Cabinet for Health and Family Services and provided to AHRQ. Values based on 10 or fewer discharges or fewer than 2 hospitals in the State statistics (SID) are suppressed to protect confidentiality of patients and are designated with an asterisk (*).",,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. http://10.35.1.231/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,
,,,,,,,
2016  Maine,,,,,,,
Outcomes for All Visits,,,,,,,
,,,,,,,
,,Number,,Age (mean),Aggregate charges,Aggregate costs,
,,Total number of discharges: N,Percent of discharges,Age (mean),"Aggregate charges, $","Aggregate costs, $",
All discharges,,138715,100,53.7848752947,3897227909.03,1838155864.96161,
Age group,<1,13481,9.7184875464,0,168165510,74748145.7377448,
,1-17,3063,2.208124572,9.9082598759,71805208.05,32155609.4972865,
,18-44,27339,19.7087553617,30.9759683968,571240300.1,267904495.48654,
,45-64,34401,24.7997693112,56.0029359612,1197624656.29,558847042.973101,
,65-84,46993,33.8773744728,73.9164130828,1572598713.22,745579313.833095,
,85+,13410,9.6673034639,88.1395227442,314954339.37,158546339.984885,
,Missing,28,0.020185272,---,839182,374917.448975684,
Sex,Male,62424,45.0016220308,55.3874575402,1976083257.14,919569838.591755,
,Female,76176,54.9154741737,52.4975971639,1919304160.89,917664723.177093,
,Missing,115,0.0829037956,36.5565217391,1840491,921303.192781503,
Payer,Medicare,65829,47.4562952817,72.4670575904,2044867775.65,979048010.960329,
,Medicaid,21504,15.5022888657,26.7050446761,497837245,230940694.649543,
,Private insurance,40065,28.8829614678,40.3501011059,1012784502.33,470450283.685683,
,Uninsured,6075,4.3794831129,35.8868763379,131950341.05,63606498.6496367,
,Other,4851,3.4970983672,54.3850752422,199057670,88818741.4028208,
,Missing,391,0.2818729049,43.6547314578,10730375,5291635.61362077,
Patient residence,Large central metro,491,0.3539631619,59.4460285132,14554451,6862350.9229787,
,Large fringe metro (suburbs),1391,1.0027754749,53.1969805895,45688371.15,20799515.2651781,
,Medium and small metro,74486,53.6971488303,52.3476252501,2112846473.96,957533515.851614,
,Micropolitan and noncore (rural),62200,44.8401398551,55.5003135704,1720174053.87,851053317.072671,
,Missing,147,0.1059726778,42.8571428571,3964559.05,1907165.84919425,
Owner,Government,3204,2.3097718343,55.4787765293,41665547,25412620.1070492,
,"Private, Not For Profit",135511,97.6902281657,53.7448166929,3855562362.03,1812743244.85456,
Bedsize,Small,61070,44.025519951,56.9921388798,1296523119.47,680238539.090053,
,Medium,31979,23.0537432866,51.3720290218,945401284.49,432909203.882487,
,Large,45666,32.9207367624,51.1850999978,1655303505.07,725008121.98911,
,,,,,,,
"State statistics from HCUP State Inpatient Databases 2016, Agency for Healthcare Research and Quality (AHRQ), based on data collected by the Maine Health Data Organization and provided to AHRQ. Values based on 10 or fewer discharges or fewer than 2 hospitals in the State statistics (SID) are suppressed to protect confidentiality of patients and are designated with an asterisk (*).",,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. http://10.35.1.231/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,
,,,,,,,
2016  Maryland,,,,,,,
Outcomes for All Visits,,,,,,,
,,,,,,,
,,Number,,Age (mean),Aggregate charges,Aggregate costs,
,,Total number of discharges: N,Percent of discharges,Age (mean),"Aggregate charges, $","Aggregate costs, $",
All discharges,,616735,100,49.2854107844,9332852025.08,7460782816.37772,
Age group,<1,72850,11.8122045935,0,452258002.09,359624128.701341,
,1-17,14607,2.3684402539,9.3237488875,250917154.22,199142659.117743,
,18-44,155921,25.2816850025,31.2223626067,1848284553.18,1482744823.48966,
,45-64,158269,25.6623995719,55.5168289431,2989002463.59,2394484862.05256,
,65-84,167210,27.1121308179,73.7215776568,3129508797.01,2498221501.33446,
,85+,47756,7.7433581684,89.4554192143,659889688.99,524117962.89571,
,Missing,122,0.0197815918,---,2991366,2446878.78616184,
Sex,Male,264203,42.8389827073,50.1328787816,4404180770.67999,3528565854.86198,
,Female,352050,57.0828637908,48.636234758,4920465998.39999,3925573028.98993,
,Missing,482,0.0781535019,58.9315352697,8205256,6643932.52563329,
Payer,Medicare,243456,39.4749770971,72.6091785931,4301031383.91,3430514423.64814,
,Medicaid,151452,24.5570625958,29.892499967,1978642886.78,1581397262.0714,
,Private insurance,194292,31.5033199024,36.6186831119,2664472553.73,2130920292.29272,
,Uninsured,10509,1.7039733435,36.7313219758,97134204.2299999,77740048.1191035,
,Other,16809,2.7254817709,40.5486730929,288692786.43,237902360.143144,
,Missing,217,0.0351852903,37.1059907834,2878210,2308430.10315676,
Patient residence,Large central metro,103274,16.7452795771,47.4809100418,1803537327.16,1417532922.34018,
,Large fringe metro (suburbs),416532,67.538245762,48.9959683422,6032921710.29999,4825013073.15099,
,Medium and small metro,73300,11.8851694812,51.8725627976,1126082487.76,923070616.241313,
,Micropolitan and noncore (rural),21675,3.514475423,55.0069216926,326225087.5,258620808.789415,
,Missing,1954,0.3168297567,45.8193945613,44085412.36,36545395.8559075,
Owner,"Private, Not For Profit",616735,100,49.2854107844,9332852025.08,7460782816.37772,
Bedsize,Small,155055,25.1412681297,50.8197592662,2108885477.93,1722749490.65873,
,Medium,330761,53.630976027,49.1655297739,4126617564.47999,3212155705.58486,
,Large,130919,21.2277558433,47.7707032653,3097348982.66999,2525877620.134,
,,,,,,,
"State statistics from HCUP State Inpatient Databases 2016, Agency for Healthcare Research and Quality (AHRQ), based on data collected by the Maryland Health Services Cost Review Commission and provided to AHRQ. Values based on 10 or fewer discharges or fewer than 2 hospitals in the State statistics (SID) are suppressed to protect confidentiality of patients and are designated with an asterisk (*).",,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. http://10.35.1.231/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,
,,,,,,,
2016  Massachusetts,,,,,,,
Outcomes for All Visits,,,,,,,
,,,,,,,
,,Number,,Age (mean),Aggregate charges,Aggregate costs,
,,Total number of discharges: N,Percent of discharges,Age (mean),"Aggregate charges, $","Aggregate costs, $",
All discharges,,795602,100,52.1234247619,24822988377.13,10736207018.9677,
Age group,<1,79981,10.052890767,0,1339679028.81,575720991.569852,
,1-17,25308,3.1809874787,9.0076260471,951757340,469014995.058648,
,18-44,175501,22.0588937685,31.7351923921,4394605436.2,1845490138.96032,
,45-64,200962,25.259111968,55.6662453598,7664221615.41,3224029271.81517,
,65-84,232587,29.2340894065,73.9744525704,8484858491.65,3679184837.88535,
,85+,81255,10.2130210834,89.5854408959,1987752652.04,942714378.528676,
,Missing,*,*,---,*,*,
Sex,Male,355379,44.6679369836,52.871038725,12475246517.2,5336612944.09385,
,Female,440177,55.3262812311,51.5234272057,12346377424.91,5398954770.52335,
,Missing,46,0.0057817854,16.1363636364,1364435.02,639304.350400943,
Payer,Medicare,351996,44.2427243773,73.0907882214,11531917954.1,5112271196.95521,
,Medicaid,159427,20.0385368564,31.1969540154,4040067716.71,1770305965.37301,
,Private insurance,252900,31.7872504091,37.2441507808,8070776199.81,3345683587.17836,
,Uninsured,6048,0.7601790845,42.9829695767,184469306,84129282.3627501,
,Other,25194,3.1666587062,43.1469397476,994388177.51,423114448.705893,
,Missing,37,0.0046505665,55.1621621622,1369023,702538.392512426,
Patient residence,Large central metro,85604,10.7596511824,46.6279102368,3197682612.17,1254361438.38168,
,Large fringe metro (suburbs),468457,58.8808223207,52.8008338083,13402978705.06,6006340873.91004,
,Medium and small metro,214828,27.0019431826,52.913232508,7015295756.94,2967609967.35391,
,Micropolitan and noncore (rural),17145,2.1549719583,54.0891221931,819039816.94,333626541.859969,
,Missing,9568,1.2026113559,46.8677608196,387991486.02,174268197.461996,
Owner,Government,*,*,*,*,*,
,"Private, Not For Profit",686103,86.2369627025,51.6374428651,22920310362.13,9539491911.97375,
,"Private, For Profit",99270,12.4773441997,56.130312585,1737191696,1055200766.78479,
Bedsize,Small,167234,21.0198063856,55.5720846239,3115911492.4,1748672304.79973,
,Medium,301009,37.8341180641,51.8131870687,7016482290.47,3730111961.40692,
,Large,327359,41.1460755503,50.6468857777,14690594594.26,5257422752.76112,
,,,,,,,
"State statistics from HCUP State Inpatient Databases 2016, Agency for Healthcare Research and Quality (AHRQ), based on data collected by the Massachusetts Division of Health Care Finance and Policy and provided to AHRQ. Values based on 10 or fewer discharges or fewer than 2 hospitals in the State statistics (SID) are suppressed to protect confidentiality of patients and are designated with an asterisk (*).",,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. http://10.35.1.231/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,
,,,,,,,
2016  Michigan,,,,,,,
Outcomes for All Visits,,,,,,,
,,,,,,,
,,Number,,Age (mean),Aggregate charges,Aggregate costs,
,,Total number of discharges: N,Percent of discharges,Age (mean),"Aggregate charges, $","Aggregate costs, $",
All discharges,,1227758,100,51.831643863,38755470408.6892,13360312048.3458,
Age group,<1,123922,10.09335716,0,2021105643.31006,680637126.167802,
,1-17,34414,2.8029953786,8.7970302784,1103089934.91,380444605.329847,
,18-44,267274,21.7692737494,30.9645906448,6205382074.62937,2126078258.58637,
,45-64,323574,26.3548679789,55.8539963038,12277223715.1001,4239292011.37178,
,65-84,369544,30.099091189,73.731988613,14051688296.5902,4868480853.23597,
,85+,108777,8.8598078774,89.4004798809,3085593015.01,1061438195.6275,
,Missing,253,0.0206066668,---,11387729.14,3940998.02654784,
Sex,Male,531370,43.2797017002,52.8123815279,18828360758.9897,6488387678.79479,
,Female,695461,56.6447948211,51.069481317,19897899112.5585,6861704544.59518,
,Missing,927,0.0755034787,61.5183982684,29210537.14,10219824.9554697,
Payer,Medicare,569922,46.4197341821,72.2828917929,20450260406.6504,7104997123.22527,
,Medicaid,265772,21.6469369371,29.4695429944,7147855204.51944,2426371372.02188,
,Private insurance,354957,28.9109906024,37.0530538288,10261820808.0396,3519274865.08185,
,Uninsured,11879,0.9675359476,34.299073294,262089054.72,87202323.0707632,
,Other,24816,2.0212452291,41.2350973359,624003603.480002,219756417.460791,
,Missing,412,0.0335571016,57.598540146,9441331.28,2709947.4851744,
Patient residence,Large central metro,344614,28.0685607424,49.9074896517,10791770991.4591,3649176731.93358,
,Large fringe metro (suburbs),358370,29.1889769808,53.4672596206,10896356502.4997,3740156520.08078,
,Medium and small metro,324369,26.4196201532,50.8370926314,11059260925.2098,3727477405.90555,
,Micropolitan and noncore (rural),199333,16.2355284999,53.9037710857,5954398430.94997,2224345004.41301,
,Missing,1072,0.0873136237,39.091503268,53683558.57,19156386.0126444,
Owner,Government,33167,2.7014281316,43.2709451716,1065635483.25,332763529.809369,
,"Private, Not For Profit",1080592,88.0134358725,52.6251809548,33905146641.8716,11663614323.5235,
,"Private, For Profit",113999,9.2851359959,46.799784148,3784688283.56991,1363934195.01257,
Bedsize,Small,156361,12.7354902188,52.3104147737,4429251340.10968,1674542541.23175,
,Medium,286121,23.304348251,54.1143057871,7932754908.84944,2787405535.42481,
,Large,785276,63.9601615302,50.904540163,26393464159.7299,8898363971.68938,
,,,,,,,
"State statistics from HCUP State Inpatient Databases 2016, Agency for Healthcare Research and Quality (AHRQ), based on data collected by the Michigan Health & Hospital Association and provided to AHRQ. Values based on 10 or fewer discharges or fewer than 2 hospitals in the State statistics (SID) are suppressed to protect confidentiality of patients and are designated with an asterisk (*).",,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. http://10.35.1.231/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,
,,,,,,,
2016  Minnesota,,,,,,,
Outcomes for All Visits,,,,,,,
,,,,,,,
,,Number,,Age (mean),Aggregate charges,Aggregate costs,
,,Total number of discharges: N,Percent of discharges,Age (mean),"Aggregate charges, $","Aggregate costs, $",
All discharges,,586460,100,47.7518732883,20314517415.85,7793021194.63767,
Age group,<1,75969,12.9538246428,0,1493189732,578896716.77317,
,1-17,25782,4.396207755,9.9158327515,1023856467,397481682.625766,
,18-44,147233,25.1053780309,30.9170362623,3872140601.22,1454150877.35749,
,45-64,136030,23.1951028203,55.8177240315,5995320625.21,2245330252.26466,
,65-84,154378,26.3237049415,73.8175970669,6549610069.42,2542327270.64203,
,85+,47010,8.0158919619,89.4583705595,1376798185,573469703.29962,
,Missing,58,0.0098898476,---,3601736,1364691.67467518,
Sex,Male,254900,43.4641748798,49.1829478351,10212086949.85,3874426886.04716,
,Female,331439,56.515192852,46.6481250151,10097466127,3916673451.98945,
,Missing,121,0.0206322682,56.5867768595,4964339,1920856.60065634,
Payer,Medicare,224082,38.2092555332,72.3170773069,8889768633,3456693213.93964,
,Medicaid,108819,18.5552296832,28.6528800287,3442987387.22,1300197014.96759,
,Private insurance,226077,38.5494321863,34.3651300655,7263507212.63,2764421574.18604,
,Uninsured,11963,2.0398663165,17.798211151,186117573,70180093.118651,
,Other,15029,2.5626641203,45.4991016171,521700665,196014957.79943,
,Missing,490,0.0835521604,30.4489795918,10435945,5514340.62600277,
Patient residence,Large central metro,187838,32.0291238959,45.3095672916,6582359935,2308694807.78448,
,Large fringe metro (suburbs),165629,28.2421648535,45.6932111178,5865630729,2112775200.52088,
,Medium and small metro,92873,15.8362036627,50.0535400851,3219375258.4,1325674911.07985,
,Micropolitan and noncore (rural),139683,23.817992702,51.9583673411,4626972110.45,2037475777.01543,
,Missing,437,0.0745148859,43.9931350114,20179383,8400498.23673349,
Owner,Government,51656,8.8081028544,47.1872459054,1539322774,654412342.05197,
,"Private, Not For Profit",534804,91.1918971456,47.8064134882,18775194641.85,7138608852.5857,
Bedsize,Small,126700,21.6042014801,47.4403068715,2989228808,1387646547.03173,
,Medium,142311,24.2661051052,49.4438612025,4220174656,1616431236.80371,
,Large,317449,54.1296934147,47.1176227804,13105113951.85,4788943410.80184,
,,,,,,,
"State statistics from HCUP State Inpatient Databases 2016, Agency for Healthcare Research and Quality (AHRQ), based on data collected by the Minnesota Hospital Association and provided to AHRQ. Values based on 10 or fewer discharges or fewer than 2 hospitals in the State statistics (SID) are suppressed to protect confidentiality of patients and are designated with an asterisk (*).",,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. http://10.35.1.231/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,
,,,,,,,
2016  Missouri,,,,,,,
Outcomes for All Visits,,,,,,,
,,,,,,,
,,Number,,Age (mean),Aggregate charges,Aggregate costs,
,,Total number of discharges: N,Percent of discharges,Age (mean),"Aggregate charges, $","Aggregate costs, $",
All discharges,,824772,100,49.0984396465,31709828152.56,9227267542.1344,
Age group,<1,85662,10.3861430795,0,1970617597.77,669521655.199234,
,1-17,39007,4.7294282541,9.709026585,1426610616.21,524293885.730801,
,18-44,201202,24.3948630652,30.6714446178,5388163909.06004,1544831230.19197,
,45-64,209975,25.4585509692,55.5735920943,9750657912.66001,2744810197.84005,
,65-84,227671,27.6041136217,73.8085746538,10968300832.56,3106021333.27238,
,85+,61232,7.4241123607,89.3466814737,2205000772.3,637625210.098264,
,Missing,23,0.0027886495,---,476512,164029.801736327,
Sex,Male,360948,43.7633673306,49.686131852,15530284512.3,4517476624.87329,
,Female,463774,56.2305703879,48.644600941,16178014078.26,4709324937.75666,
,Missing,50,0.0060622815,14.8541666667,1529562,465979.504518869,
Payer,Medicare,349458,42.3702550523,71.5114535491,15830973372.02,4486840851.16086,
,Medicaid,167792,20.3440465971,26.2674955002,5202379945.92999,1613536099.55501,
,Private insurance,237078,28.7446712546,35.619660445,8325363725.66003,2468276454.53775,
,Uninsured,52712,6.3910996009,35.7076447261,1479619315.72,419791290.90422,
,Other,16670,2.021164637,43.6568274538,845353584.65,230057279.366459,
,Missing,1062,0.1287628581,39.9557438795,26138208.58,8765566.61002946,
Patient residence,Large central metro,139047,16.8588409888,47.1214156772,5927196148.07999,1466513391.35893,
,Large fringe metro (suburbs),318171,38.5768430548,49.141721617,11568718573.6,3474033003.38545,
,Medium and small metro,145058,17.5876484653,47.3228797551,5335314940.99002,1618756554.87393,
,Micropolitan and noncore (rural),221415,26.8456009661,51.4835259633,8816290833.72002,2649749726.12321,
,Missing,1081,0.1310665251,40.3639740019,62307656.17,18214866.3928317,
Owner,Government,99014,12.0050147192,51.321058107,3288524455.36,1040987908.66207,
,"Private, Not For Profit",636988,77.232010786,48.1048382032,23304249954.1798,7229885652.62471,
,"Private, For Profit",88770,10.7629744948,53.7491269573,5117053743.02,956393980.848097,
Bedsize,Small,111316,13.4965784483,52.0367156268,3255942641.82,1238301990.27507,
,Medium,94996,11.5178497815,42.5918163252,4565161107.51999,1492263474.93018,
,Large,618460,74.9855717701,49.5690042688,23888724403.2198,6496702076.92937,
,,,,,,,
"State statistics from HCUP State Inpatient Databases 2016, Agency for Healthcare Research and Quality (AHRQ), based on data collected by the Missouri Hospital Industry Data Institute and provided to AHRQ. Values based on 10 or fewer discharges or fewer than 2 hospitals in the State statistics (SID) are suppressed to protect confidentiality of patients and are designated with an asterisk (*).",,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. http://10.35.1.231/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,
,,,,,,,
2016  Nebraska,,,,,,,
Outcomes for All Visits,,,,,,,
,,,,,,,
,,Number,,Age (mean),Aggregate charges,Aggregate costs,
,,Total number of discharges: N,Percent of discharges,Age (mean),"Aggregate charges, $","Aggregate costs, $",
All discharges,,201772,100,47.7627991593,6865486002,2459645514.55292,
Age group,<1,27927,13.8408698928,0,402718374,157755933.248798,
,1-17,8298,4.1125626945,10.6706435286,244878186,103088065.382234,
,18-44,49810,24.6862795631,30.4010841197,1172591039,396431415.529389,
,45-64,43915,21.7646650675,55.9910053512,2056500210,699267585.212834,
,65-84,54590,27.0552901295,73.9505770288,2452382516,892424102.672889,
,85+,17192,8.5205082965,89.3819799907,534688719,210055157.522091,
,Missing,40,0.0198243562,---,1726958,623254.984664577,
Sex,Male,85401,42.3254961045,49.3931365659,3405782609,1203199431.55158,
,Female,116180,57.5798425946,46.5545875588,3452409725,1254209065.88679,
,Missing,191,0.0946613009,53.8157894737,7293668,2237017.11457698,
Payer,Medicare,80981,40.134904744,73.3275084903,3366058446,1224865243.041,
,Medicaid,33493,16.5994290585,23.3773787829,872046499,299355986.026986,
,Private insurance,79764,39.5317487065,32.9898934169,2387315677,854718974.269485,
,Uninsured,2894,1.4342921714,37.7418797512,67902656,24686746.7217214,
,Other,4640,2.2996253197,37.6961206897,172162724,56018564.4937236,
Patient residence,Large central metro,430,0.2131118292,50.811627907,26092407,8429487.59286192,
,Large fringe metro (suburbs),455,0.2255020518,48.5164835165,28237998,9220730.32424797,
,Medium and small metro,126604,62.7460698214,45.4662311089,4329876236,1409953206.42523,
,Micropolitan and noncore (rural),74002,36.6760501953,51.6831519903,2469690707,1027272731.47537,
,Missing,281,0.1392661023,44.206405694,11588654,4769358.73524553,
Owner,Government,8985,4.4530460123,54.2897373108,142267087,113070172.375667,
,"Private, Not For Profit",188984,93.6621533216,47.0695387547,6564956693,2283532407.56525,
,"Private, For Profit",3803,1.8848006661,66.7872732054,158262222,63042934.612034,
Bedsize,Small,46610,23.1003310667,50.0853990943,1279494863,620285487.467441,
,Medium,42839,21.2313898856,46.3088506525,1542816644,470156134.309983,
,Large,112323,55.6682790476,47.353738892,4043174495,1369203892.77549,
,,,,,,,
"State statistics from HCUP State Inpatient Databases 2016, Agency for Healthcare Research and Quality (AHRQ), based on data collected by the Nebraska Hospital Association and provided to AHRQ. Values based on 10 or fewer discharges or fewer than 2 hospitals in the State statistics (SID) are suppressed to protect confidentiality of patients and are designated with an asterisk (*).",,,,,,,
"Citation: HCUPnet, Healthcare Cost and Utilization Project. Agency for Healthcare Research and Quality, Rockville, MD. http://10.35.1.231/. For more information about HCUP data see http://www.hcup-us.ahrq.gov/",,,,,,,
,,,,,,,
2016  Nevada,,,,,,,
Outcomes for All Visits,,,,,,,
,,,,,,,
,,Number,,Age (mean),Aggregate charges,Aggregate costs,
,,Total number of discharges: N,Percent of discharges,Age (mean),"Aggregate charges, $","Aggregate costs, $",
All discharges,,306504,100,47.9944633133,23431664334.99,3449040464.79701,
Age group,<1,38039,12.4106047556,0,1173562696.66,152765349.875099,
,1-17,9146,2.983974108,8.848349005,563629885.07,78984706.1108509,
,18-44,77821,25.3898807193,31.0761748114,4000172037.51999,593594768.376463,
,45-64,77751,25.3670425182,55.494784633,7506338859.8,1116520613.38866,
,65-84,86002,28.0590139117,73.4436641008,8780728017.98,1297473002.23261,
,85+,17742,5.7885052071,89.0524179912,1407223685.96,209700223.108202,
,Missing,*,*,---,*,*,
Sex,Male,135783,44.3005637773,49.9207553284,11952468239.48,1762748509.27947,
,Female,170620,55.6664839611,46.4665568697,11476697220.51,1685720603.60477,
,Missing,101,0.0329522616,39.4059405941,2498875,571351.912751193,
Payer,Medicare,109180,35.6210685668,71.8477468401,10512664765.14,1532450203.13548,
,Medicaid,87230,28.4596612116,29.4347586839,5389630873.54,772155922.740201,
,Private insurance,90658,29.5780805471,38.3936860219,6101553963.34,927952721.888553,
,Uninsured,9900,3.2299741602,36.0291948682,521642175.43,80014005.2138763,
,Other,9135,2.9803852478,48.546031746,890394910.56,132378764.794808,
,Missing,401,0.1308302665,44.0922693267,15777646.98,4088847.02409383,
Patient residence,Large central metro,209895,68.4803460966,46.2488387051,17746648733.87,2406749024.18408,
,Large fringe metro (suburbs),3411,1.1128729152,55.388155966,308630933.44,46465663.1649667,
,Medium and small metro,60311,19.677067836,50.3063441003,3327616167.15,591428926.571011,
,Micropolitan and noncore (rural),31528,10.2863257902,54.2194557219,1901919517.53,386379242.671848,
,Missing,1359,0.443387362,52.0353200883,146848983,18017608.2051315,
